name,ring,quadrant,isNew,description
Python,Adopt,languages & frameworks,FALSE,
SQL,Adopt,languages & frameworks,FALSE,
Scala,Adopt,languages & frameworks,FALSE,
Plotly,Adopt,tools,FALSE,
Sklearn,Adopt,tools,FALSE,
Pandas,Adopt,tools,FALSE,
Numpy,Adopt,tools,FALSE,
Keras,Adopt,tools,FALSE,
TensorFlow,Adopt,tools,FALSE,
Theano,Adopt,tools,FALSE,
PyCaret,Adopt,tools,FALSE,
DVC,Adopt,tools,FALSE,
Kedro,Adopt,tools,FALSE,
Amundsen,Adopt,tools,FALSE,
Datahub,Adopt,tools,FALSE,
Great Expectations,Adopt,tools,FALSE,
Prophet,Adopt,tools,FALSE,
Optuna,Adopt,tools,FALSE,
Apache Kafka,Trial,platforms,FALSE,
Apache Hadoop,Trial,platforms,FALSE,
Apache Drill,Trial,platforms,FALSE,
Presto,Trial,platforms,FALSE,
Git,Trial,platforms,FALSE,
Docker,Trial,platforms,FALSE,
Kubernetes,Trial,platforms,FALSE,
MLFlow,Trial,platforms,FALSE,
Apache Spark,Adopt,tools,FALSE,
Apache AirFlow,Adopt,tools,FALSE,
Apache Impala,Adopt,tools,FALSE,
Apache Hive,Adopt,tools,FALSE,
Apache Hive,Adopt,tools,FALSE,
Apache Livy,Adopt,tools,FALSE,
Jupyter Lab,Adopt,tools,FALSE,
Anaconda,Adopt,tools,FALSE,
Gitlab CI,Trial,platforms,FALSE,
IBM DB2 Universal Database,Hold,techniques,FALSE,
Informatica DEI,Adopt,techniques,FALSE,
Azure cloud,Adopt,platforms,FALSE,
DataBricks,Adopt,techniques,FALSE,
Tableau,Adopt,techniques,FALSE,
Qlik Sense Enterprise,Adopt,techniques,FALSE,
QlikSense Desktop,Adopt,techniques,FALSE,
QlikView,Adopt,techniques,FALSE,
SAP BusinessObjects,Trial,techniques,FALSE,
SAP Hana,Adopt,techniques,FALSE,
Teradata IFX,Adopt,techniques,FALSE,
Teradata Query Grid,Adopt,techniques,FALSE,
