name,ring,quadrant,isNew,description
Elasticsearch,Adopt,data management,FALSE,"описание"
MySQL,Hold,data management,FALSE,"описание"
PerconaDB,Adopt,data management,FALSE,"описание"
PostgreSQL,Adopt,data management,FALSE,"описание"
gRPC,Adopt,data management,FALSE,"описание"
Tarantool Data Grid,Trial,data management,TRUE,"описание"
Vue.js,Adopt,frameworks & libraries,FALSE,"описание"
Nuxt.js,Trial,frameworks & libraries,FALSE,"описание"
Ant Design,Assess,frameworks & libraries,TRUE,"описание"
Symfony,Adopt,frameworks & libraries,FALSE,"описание"
Krakend,Adopt,frameworks & libraries,FALSE,"описание"
Golang,Adopt,languages,FALSE,"описание"
PHP,Adopt,languages,FALSE,"описание"
Typescript,Trial,languages,TRUE,"описание"
Javascript,Adopt,languages,FALSE,"описание"
Swift,Adopt,languages,TRUE,"описание"
Kotlin,Adopt,languages,TRUE,"описание"
HAProxy,Adopt,platform & infrastructure,FALSE,"описание"
Kafka,Trial,platform & infrastructure,FALSE,"описание"
KeepAliveD,Adopt,platform & infrastructure,FALSE,"описание"
Kibana,Adopt,platform & infrastructure,FALSE,"описание"
Docker,Trial,platform & infrastructure,FALSE,"описание"
Logstash,Adopt,platform & infrastructure,FALSE,"описание"
Nginx,Adopt,platform & infrastructure,FALSE,"описание"
Consul,Adopt,platform & infrastructure,FALSE,"описание"
RabbitMQ,Adopt,platform & infrastructure,FALSE,"описание"
Grafana,Adopt,platform & infrastructure,FALSE,"описание"
Prometheus,Adopt,platform & infrastructure,FALSE,"описание"
NATS,Trial,platform & infrastructure,FALSE,"описание"
Sentry,Trial,platform & infrastructure,TRUE,"описание"
AppDynamics,Trial,platform & infrastructure,FALSE,"описание"
Memcached,Adopt,data management,FALSE,"описание"
Redis,Assess,data management,FALSE,"описание"
