name,ring,quadrant,isNew,description
Golang,Adopt,languages & frameworks,FALSE,
Python,Adopt,languages & frameworks,FALSE,
Kotlin,Adopt,languages & frameworks,FALSE,
Swift,Adopt,languages & frameworks,FALSE,
Elastic,Adopt,techniques,FALSE,
PostgreSQL,Adopt,techniques,FALSE,
Redis,Adopt,techniques,FALSE,
RabbitMQ,Adopt,techniques,FALSE,
google wire,Adopt,tools,FALSE,
sqlalchemy,Adopt,tools,FALSE,
FastAPI,Adopt,tools,FALSE,
Pydantic,Adopt,tools,FALSE,
OpenAPI,Adopt,tools,FALSE,
oapi-codegen,Adopt,tools,FALSE,
echo,Adopt,tools,FALSE,
Terragrunt,Adopt,platforms,FALSE,
Helm,Adopt,platforms,FALSE,
Grafana,Adopt,platforms,FALSE,
Prometheus,Adopt,platforms,FALSE,
Jaeger,Adopt,platforms,FALSE,
Loki,Adopt,platforms,FALSE,
k8s,Adopt,platforms,FALSE,
flux2,Adopt,platforms,FALSE,
victoria metrics,Adopt,platforms,FALSE,
Hashicorp Vault,Adopt,platforms,FALSE,
Hashicorp Consul,Adopt,platforms,FALSE,
Keycloak,Adopt,platforms,FALSE,
YandexCloud,Adopt,platforms,FALSE,
Nginx,Adopt,platforms,FALSE,
Sentry,Trial,platforms,FALSE,
Android SDK,Adopt,tools,FALSE,
Firebase,Adopt,platforms,FALSE,
Google MS,Adopt,platforms,FALSE,
Huawey MS,Adopt,platforms,FALSE,
Room,Assess,techniques,FALSE,
